date_code,thickness,amb_tensile_pre_cure,amb_elongation_pre_cure,amb_elongation_result,amb_tensile_result,hot_tensile_result,hot_elongation_result,overall_result
17-B-1607,117.0,20.7,434.0,1,0,1,1,0
17-B-1608,117.0,19.9,549.0,1,0,0,1,0
17-B-1609,117.0,20.6,572.0,1,0,0,1,0
17-B-1610,117.0,20.8,464.0,1,1,0,1,0
17-B-1611,117.0,21.2,523.0,1,1,0,1,0
17-B-1614,117.0,21.4,498.0,1,1,0,1,0
17-B-1615,117.0,22.8,465.0,1,0,0,1,0
17-B-1617,117.0,23.3,523.0,1,1,0,1,0
17-B-1618,117.0,22.7,555.0,1,1,0,1,0
17-B-1619,117.0,23.1,418.0,1,0,0,1,0
17-B-1620,117.0,22.5,467.0,1,0,1,1,0
17-B-1621,117.0,22.3,518.0,1,0,0,1,0
17-B-1622,117.0,22.7,420.0,1,1,0,1,0
17-B-1623,117.0,22.5,549.0,1,1,0,1,0
17-B-1626,117.0,21.2,532.0,1,0,1,1,0
17-B-1627,117.0,20.9,594.0,1,0,1,1,0
17-B-1628,117.0,21.1,660.0,1,1,0,1,0
17-B-1629,117.0,21.0,574.0,1,0,0,1,0
17-B-1630,117.0,21.0,515.0,1,0,0,1,0
17-B-1631,117.0,20.5,560.0,1,1,0,1,0
17-B-1632,117.0,19.7,526.0,1,0,0,1,0
17-B-1633,117.0,20.1,580.0,1,1,1,1,1
17-B-1634,117.0,19.5,436.0,1,0,1,1,0
17-B-1635,117.0,21.3,475.0,1,0,0,1,0
17-B-1636,65.0,27.0,822.0,1,1,1,1,1
17-B-1637,65.0,26.0,678.0,1,1,1,1,1
17-B-1638,65.0,24.9,637.0,1,1,1,1,1
17-B-1639,65.0,23.3,805.0,1,1,1,1,1
17-B-1640,65.0,26.8,733.0,1,1,1,1,1
17-B-1641,65.0,23.1,857.0,1,1,1,1,1
17-B-1642,65.0,20.5,463.0,1,1,1,1,1
17-B-1643,65.0,21.0,521.0,1,1,1,1,1
17-B-1644,45.0,25.5,586.0,1,1,1,1,1
17-B-1645,45.0,25.5,463.0,1,1,1,1,1
17-B-1756,65.0,28.9,797.0,1,1,1,1,1
17-B-1757,65.0,21.3,520.0,1,1,1,1,1
17-B-1758,65.0,24.1,769.0,1,1,1,1,1
17-B-1759,65.0,21.5,566.0,1,1,1,1,1
17-B-1760,65.0,24.9,710.0,1,1,1,1,1
17-B-1761,65.0,27.0,636.0,1,1,1,1,1
17-B-1765,65.0,28.3,732.0,1,1,1,1,1
17-B-1766,65.0,29.4,697.0,1,1,1,1,1
17-B-1767,65.0,27.8,642.0,1,1,1,1,1
17-B-1768,65.0,22.1,541.0,1,1,1,1,1
17-B-1773,65.0,23.3,573.0,1,1,1,1,1
17-B-1780,65.0,25.8,661.0,1,1,1,1,1
17-B-1817,65.0,26.3,696.0,1,1,1,1,1
17-B-1819,65.0,26.5,719.0,1,1,1,1,1
17-B-1820,65.0,26.7,733.0,1,1,1,1,1
17-B-1821,65.0,22.9,605.0,1,1,1,1,1
17-B-1822,65.0,27.1,737.0,1,1,1,1,1
17-B-1823,65.0,24.0,655.0,1,1,1,1,1
17-B-1824,65.0,20.3,545.0,1,1,1,1,1
17-B-1825,65.0,25.3,673.0,1,1,1,1,1
17-B-1826,65.0,27.2,696.0,1,1,1,1,1
17-B-1827,65.0,26.5,679.0,1,1,1,1,1
17-B-1828,65.0,22.3,532.0,1,1,0,1,0
17-B-1829,65.0,28.0,685.0,1,1,1,1,1
17-B-1830,65.0,25.4,684.0,1,1,0,1,0
17-B-1831,65.0,24.3,681.0,1,1,1,1,1
17-B-1832,65.0,25.0,701.0,1,1,1,1,1
17-B-1833,65.0,26.1,692.0,1,1,1,1,1
17-B-1834,65.0,25.2,692.0,1,1,1,1,1
17-B-1835,65.0,26.2,745.0,1,1,1,1,1
17-B-1836,65.0,25.3,715.0,1,1,1,1,1
17-B-1837,65.0,26.0,705.0,1,1,1,1,1
17-B-1838,65.0,22.2,593.0,1,1,1,1,1
17-B-1839,65.0,25.5,670.0,1,1,1,1,1
17-B-1842,65.0,19.6,461.0,1,1,1,1,1
17-B-1843,65.0,25.4,912.0,1,1,1,1,1
17-B-1844,65.0,22.6,823.0,1,1,1,1,1
17-B-1846,65.0,23.4,886.0,1,1,1,1,1
17-B-1851,65.0,22.4,801.0,1,1,1,1,1
17-B-1852,65.0,25.3,871.0,1,1,1,1,1
17-B-1853,65.0,24.4,972.0,1,1,1,1,1
17-B-1854,65.0,23.3,888.0,1,1,1,1,1
17-B-1876,117.0,20.2,511.0,1,1,0,1,0
17-B-1877,117.0,19.9,484.0,1,0,1,1,0
17-B-1878,117.0,20.2,481.0,1,1,1,1,1
17-B-1879,117.0,20.1,485.0,1,1,1,1,1
17-B-1880,117.0,20.8,460.0,1,1,1,1,1
17-B-1881,117.0,20.4,533.0,1,0,1,1,0
17-B-1882,117.0,22.0,502.0,1,1,1,1,1
17-B-1883,117.0,20.9,405.0,1,1,1,1,1
17-B-1884,117.0,20.9,346.0,1,1,0,1,0
17-B-1885,117.0,21.5,410.0,1,1,1,1,1
17-B-1886,117.0,21.0,420.0,1,1,0,1,0
17-B-1887,117.0,20.1,305.0,1,0,1,1,0
17-B-1888,117.0,20.5,521.0,1,1,1,1,1
17-B-1889,117.0,21.7,504.0,1,1,1,1,1
17-B-1891,117.0,20.6,422.0,1,1,1,1,1
17-B-1893,117.0,21.7,444.0,1,1,1,1,1
17-B-1895,117.0,22.1,476.0,1,1,1,1,1
17-B-1898,117.0,21.5,474.0,1,1,0,1,0
17-B-1899,117.0,20.6,378.0,1,1,0,1,0
17-B-1900,117.0,21.4,296.0,1,1,1,1,1
17-B-1901,117.0,20.4,467.0,1,1,1,1,1
17-B-1903,117.0,20.1,333.0,1,1,1,1,1
17-B-1905,117.0,20.3,388.0,1,1,0,1,0
17-B-1906,117.0,20.7,284.0,1,0,1,1,0
17-B-1907,117.0,21.2,282.0,1,1,1,1,1
17-B-1910,117.0,19.7,582.0,1,1,0,1,0
17-B-1911,117.0,21.5,381.0,1,1,0,1,0
17-B-1912,117.0,20.8,338.0,1,1,0,1,0
17-B-1913,117.0,20.8,338.0,1,1,0,1,0
17-B-1914,117.0,20.2,483.0,1,1,0,1,0
17-B-1915,117.0,20.2,688.0,1,1,0,1,0
17-B-1916,117.0,20.5,638.0,1,1,1,1,1
17-B-1917,117.0,19.9,370.0,1,1,1,1,1
17-B-1918,117.0,20.3,609.0,1,1,1,1,1
17-B-1919,117.0,20.5,625.0,1,1,1,1,1
17-B-1920,117.0,21.4,358.0,1,1,1,1,1
17-B-1921,117.0,21.8,292.0,1,1,1,1,1
17-B-1922,117.0,20.6,717.0,1,0,1,1,0
17-B-1923,117.0,21.4,357.0,1,1,1,1,1
17-B-1924,117.0,21.9,369.0,1,0,1,1,0
17-B-1925,117.0,22.7,274.0,1,1,1,1,1
17-B-1926,117.0,20.2,409.0,1,0,1,1,0
17-B-1927,117.0,20.5,489.0,1,1,1,1,1
17-B-1929,117.0,21.2,375.0,1,0,1,1,0
17-B-1930,117.0,21.2,314.0,1,0,0,1,0
17-B-1931,117.0,21.6,386.0,1,0,1,1,0
17-B-1932,117.0,21.2,468.0,1,1,0,1,0
17-B-1933,117.0,21.6,566.0,1,0,0,1,0
17-B-1934,117.0,20.8,421.0,1,0,1,1,0
17-B-1935,117.0,21.2,669.0,1,1,0,1,0
17-B-2124,65.0,30.3,764.0,1,1,1,1,1
17-B-2127,65.0,30.5,755.0,1,1,1,1,1
17-B-2128,65.0,24.9,717.0,1,1,1,1,1
17-B-2131,65.0,26.6,695.0,1,1,1,1,1
17-B-2132,65.0,23.7,575.0,1,1,1,1,1
17-B-2135,65.0,29.4,769.0,1,1,1,1,1
17-B-2136,65.0,29.5,654.0,1,1,0,1,0
17-B-2138,65.0,26.2,809.0,1,1,0,1,0
17-B-2139,65.0,27.6,675.0,1,1,1,1,1
17-B-2140,65.0,23.7,574.0,1,1,1,1,1
17-B-2141,65.0,25.5,637.0,1,1,1,1,1
17-B-2142,65.0,21.3,753.0,1,1,1,1,1
17-B-2143,65.0,22.1,730.0,1,1,1,1,1
17-B-2144,65.0,22.0,664.0,1,1,1,1,1
17-B-2147,65.0,30.1,338.0,1,1,1,1,1
